"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",9.99,10.23,8.09,9.91,"1,961,000","69,949,800","POLL",-0.00800800800800801
"2018-01-09",6.58,11.26,5.97,9.96,"2,930,700","46,053,300","POLL",0.513677811550152
"2018-01-08",7.11,7.27,5.27,6.59,"934,495","49,745,200","POLL",-0.0731364275668074
"2018-01-07",6.24,7.39,5.78,6.92,"1,118,550","43,677,400","POLL",0.108974358974359
"2018-01-06",4.8,7.13,4.55,6.29,"998,245","33,627,200","POLL",0.310416666666667
"2018-01-05",4.31,5.69,4.2,4.82,"1,115,630","30,161,600","POLL",0.118329466357309
"2018-01-04",3.57,4.36,3.33,4.36,"724,811","25,002,100","POLL",0.221288515406163
"2018-01-03",3.07,3.6,2.96,3.58,"630,964","21,457,300","POLL",0.166123778501629
"2018-01-02",2.6,3.43,2.53,3.04,"666,036","18,231,800","POLL",0.169230769230769
"2018-01-01",2.6,2.71,2.41,2.59,"296,370","18,229,800","POLL",-0.00384615384615393
"2017-12-31",2.13,2.7,2.13,2.6,"360,400","14,912,600","POLL",0.220657276995305
"2017-12-30",2.86,2.86,2,2.15,"617,121","20,003,000","POLL",-0.248251748251748
"2017-12-29",2,2.87,1.98,2.87,"1,243,340","13,976,300","POLL",0.435
"2017-12-28",2.15,2.15,1.8,1.98,"334,244","15,051,200","POLL",-0.0790697674418604
"2017-12-27",1.94,2.17,1.78,2.12,"522,896","13,563,000","POLL",0.0927835051546393
"2017-12-26",1.88,2.03,1.67,1.94,"304,919","13,191,800","POLL",0.0319148936170213
"2017-12-25",1.65,1.93,1.53,1.89,"275,638","11,515,700","POLL",0.145454545454545
"2017-12-24",1.75,1.75,1.51,1.63,"293,071","12,263,600","POLL",-0.0685714285714286
"2017-12-23",1.63,2,1.56,1.73,"398,593","11,408,200","POLL",0.0613496932515338
"2017-12-22",1.9,1.93,1.22,1.63,"387,616","13,323,500","POLL",-0.142105263157895
"2017-12-21",2.1,2.21,1.81,1.9,"414,248","14,702,500","POLL",-0.0952380952380953
"2017-12-20",2.66,2.66,1.86,2.03,"414,975","18,653,200","POLL",-0.236842105263158
"2017-12-19",2.08,3.34,2.02,2.56,"685,207","14,579,100","POLL",0.230769230769231
"2017-12-18",2.08,2.19,1.76,2.08,"333,206","14,547,200","POLL",0
"2017-12-17",1.76,2.22,1.73,2.11,"268,593","12,291,300","POLL",0.198863636363636
"2017-12-16",1.88,2.07,1.49,1.76,"178,018","13,157,800","POLL",-0.0638297872340425
"2017-12-15",1.95,2.12,1.59,1.89,"437,221","13,654,300","POLL",-0.0307692307692308
"2017-12-14",1.77,2.31,1.73,1.87,"383,968","12,403,100","POLL",0.056497175141243
"2017-12-13",2.11,2.53,1.74,1.78,"431,750","14,803,700","POLL",-0.156398104265403
"2017-12-12",2.61,2.91,1.85,2.05,"549,912","18,269,600","POLL",-0.21455938697318
"2017-12-11",3.37,3.73,2.42,2.6,"716,719","23,574,900","POLL",-0.228486646884273
"2017-12-10",2.03,3.43,1.87,3.39,"825,888","14,226,600","POLL",0.669950738916256
"2017-12-09",1.73,2.06,1.71,2.04,"181,661","12,086,400","POLL",0.179190751445087
"2017-12-08",1.87,2.13,1.7,1.73,"361,603","13,056,200","POLL",-0.0748663101604279
"2017-12-07",1.73,2.32,1.69,1.94,"1,023,870","12,142,400","POLL",0.121387283236994
"2017-12-06",0.753598,2.24,0.748022,1.76,"1,195,790","5,275,180","POLL",1.33546267373321
"2017-12-05",0.865313,0.933113,0.699409,0.774168,"137,311","6,057,180","POLL",-0.105331827905047
"2017-12-04",0.887702,0.971236,0.818283,0.85184,"75,167","6,213,910","POLL",-0.0403986923539656
"2017-12-03",0.763413,1.03,0.717726,0.890963,"99,135","5,343,890","POLL",0.16707863240474
"2017-12-02",0.954073,0.991838,0.7099,0.762736,"128,627","6,678,510","POLL",-0.200547547200267
"2017-12-01",1.12,1.19,0.851682,0.969542,"182,987","7,823,160","POLL",-0.1343375
"2017-11-30",0.969756,1.15,0.841565,1.15,"334,987","6,788,280","POLL",0.185865310449226
"2017-11-29",0.843387,1.18,0.816773,0.95526,"416,359","5,903,700","POLL",0.132647290034112
"2017-11-28",0.737002,0.871259,0.687192,0.83696,"172,771","5,159,000","POLL",0.135627854469866
"2017-11-27",0.577753,0.731301,0.577753,0.731301,"249,661","4,044,260","POLL",0.265767551185368
"2017-11-26",0.467026,0.607305,0.448765,0.595633,"147,370","3,269,180","POLL",0.275374390290904
"2017-11-25",0.544339,0.556643,0.42732,0.467176,"41,446","3,810,370","POLL",-0.1417554134464
"2017-11-24",0.535024,0.568429,0.504955,0.545318,"65,896","3,745,170","POLL",0.0192402583809323
"2017-11-23",0.469873,0.541047,0.466405,0.536267,"39,315","3,289,110","POLL",0.141302011394568
"2017-11-22",0.484825,0.599807,0.421441,0.469687,"68,914","3,393,770","POLL",-0.0312236373949363
"2017-11-21",0.446302,0.487392,0.374218,0.483728,"36,018","3,124,110","POLL",0.0838580154245332
"2017-11-20",0.378177,0.447205,0.339948,0.446297,"26,316","2,647,230","POLL",0.180127294891017
"2017-11-19",0.340688,0.387336,0.325774,0.378396,"10,862","2,384,810","POLL",0.110681914244118
"2017-11-18",0.334494,0.381996,0.314931,0.341347,"13,810","2,341,460","POLL",0.0204876619610516
"2017-11-17",0.402815,0.415347,0.295025,0.335633,"38,737","2,819,700","POLL",-0.166781276764768
"2017-11-16",0.34552,0.409035,0.300143,0.403394,"51,108","2,418,640","POLL",0.167498263486918
"2017-11-15",0.265864,0.376452,0.265864,0.343953,"8,605","1,861,040","POLL",0.293717840700509
"2017-11-14",0.280567,0.330652,0.261537,0.265697,"15,631","1,963,970","POLL",-0.0529998182252367
"2017-11-13",0.226223,0.326421,0.222314,0.280036,"40,803","1,583,560","POLL",0.23787590121252
"2017-11-12",0.279608,0.286292,0.199044,0.225891,"5,086","1,957,250","POLL",-0.192115390117593
"2017-11-11",0.285693,0.300021,0.255669,0.279799,"6,316","1,999,850","POLL",-0.0206305369750045
"2017-11-10",0.3016,0.340679,0.273217,0.28667,"4,818","2,111,200","POLL",-0.0495026525198939
"2017-11-09",0.357125,0.395395,0.300424,0.300986,"22,353","2,499,870","POLL",-0.157197059852993
"2017-11-08",0.310626,0.371494,0.24654,0.357523,"16,854","2,174,380","POLL",0.15097577150657
"2017-11-07",0.314051,0.356637,0.263513,0.311525,"9,304","2,198,350","POLL",-0.0080432795947156
"2017-11-06",0.29511,0.3458,0.283585,0.314513,"18,229","2,065,770","POLL",0.0657483650164346
"2017-11-05",0.266742,0.32021,0.231671,0.294513,"14,275","1,867,190","POLL",0.104111838405651
"2017-11-04",0.299175,0.357626,0.261306,0.266965,"9,530","2,094,220","POLL",-0.107662739199465
"2017-11-03",0.320607,0.35414,0.257066,0.299782,"9,594","2,244,250","POLL",-0.0649549136481736
"2017-11-02",0.31366,0.322323,0.224504,0.320736,"9,227","2,195,620","POLL",0.0225594592871263
"2017-11-01",0.332133,0.415181,0.226465,0.313343,"18,579","2,324,930","POLL",-0.0565737219728242
"2017-10-31",0.358928,0.434844,0.216897,0.355247,"32,787","2,512,490","POLL",-0.0102555387152856
"2017-10-30",0.463439,0.479877,0.353003,0.359645,"55,452","3,244,070","POLL",-0.223964750484961
"2017-10-29",0.427991,0.524805,0.421121,0.464263,"33,153","2,995,940","POLL",0.0847494456659135
"2017-10-28",0.410855,0.459844,0.366954,0.428307,"54,898","2,875,980","POLL",0.0424772730038577
"2017-10-27",0.390866,0.631539,0.345039,0.381368,"85,691","2,736,060","POLL",-0.0242998879411359
"2017-10-26",0.433434,0.72155,0.292072,0.35097,"282,553","3,034,030","POLL",-0.190257340217888
"2017-10-25",0.435806,0.447694,0.390367,0.434365,"94,539","3,050,640","POLL",-0.003306517120003
