"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",53.3,54.51,47.54,54.05,"4,190,550","1,972,430,000","PPT",0.0140712945590994
"2018-01-09",57.84,60.65,52.65,53.21,"5,257,620","2,140,290,000","PPT",-0.0800484094052559
"2018-01-08",54.86,73.85,52.24,58.2,"19,256,500","2,030,070,000","PPT",0.060882245716369
"2018-01-07",42.54,63.79,42.22,55.64,"10,494,700","1,574,260,000","PPT",0.307945463093559
"2018-01-06",41.82,43.27,39.47,42.76,"2,876,040","1,547,510,000","PPT",0.0224772835963653
"2018-01-05",45.88,47.28,39.2,41.37,"3,245,770","1,697,890,000","PPT",-0.098299912816042
"2018-01-04",52.07,53.08,43.55,46.01,"4,863,890","1,926,840,000","PPT",-0.116381793739197
"2018-01-03",45.06,70.82,42.05,51.89,"12,062,500","1,667,220,000","PPT",0.151575676875277
"2018-01-02",41.57,45.86,41.57,44.68,"3,275,410","1,538,300,000","PPT",0.0748135674765456
"2018-01-01",41.55,42.59,38.29,41.73,"1,770,540","1,537,470,000","PPT",0.00433212996389891
"2017-12-31",36.16,43.16,35,41.53,"2,320,920","1,338,170,000","PPT",0.148506637168142
"2017-12-30",38.79,39.17,34.12,36.69,"2,635,550","1,435,350,000","PPT",-0.0541376643464811
"2017-12-29",35.67,41.25,35.36,39.02,"3,374,230","1,320,110,000","PPT",0.0939164564059434
"2017-12-28",36.41,36.45,30.67,35.43,"3,163,370","1,347,210,000","PPT",-0.0269156825048063
"2017-12-27",38.69,39.85,33.35,36.64,"3,534,810","1,431,700,000","PPT",-0.0529852675109847
"2017-12-26",40.98,43.87,38.32,38.65,"3,576,820","1,516,540,000","PPT",-0.0568570034163006
"2017-12-25",36.97,41.15,34.32,40.32,"2,216,610","1,368,060,000","PPT",0.0906140113605627
"2017-12-24",36.87,37.85,31.47,37.05,"2,394,820","1,364,300,000","PPT",0.00488201790073229
"2017-12-23",35.19,41.53,35.19,36.74,"3,245,200","1,302,060,000","PPT",0.0440466041489061
