"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",4.72,8.16,3.86,8.16,"24,137","925,327","PR",0.728813559322034
"2018-01-09",4.83,5.54,2.42,4.71,"4,654","948,000","PR",-0.0248447204968944
"2018-01-08",6.01,6.01,3.35,4.85,"2,290","1,178,210","PR",-0.193011647254576
"2018-01-07",2.71,7.42,2.4,6.02,"71,099","531,340","PR",1.22140221402214
"2018-01-06",2.89,3.43,1.83,2.71,"838","566,573","PR",-0.0622837370242215
"2018-01-05",1.93,2.93,1.91,2.89,"3,374","377,745","PR",0.497409326424871
"2018-01-04",1.87,2.6,1.53,1.92,"796","366,585","PR",0.0267379679144384
"2018-01-03",1.72,4.56,1.38,1.86,"686","336,652","PR",0.0813953488372094
"2018-01-02",1.53,1.86,1.3,1.72,"1,183","299,518","PR",0.124183006535948
"2018-01-01",1.67,1.67,1.39,1.53,"210","327,818","PR",-0.0838323353293413
"2017-12-31",1.15,1.68,1.14,1.67,"686","226,367","PR",0.452173913043478
"2017-12-30",2.33,2.34,1.06,1.17,"90","456,472","PR",-0.497854077253219
"2017-12-29",1.65,2.35,1.55,2.34,"116","323,117","PR",0.418181818181818
"2017-12-28",2.21,2.22,1.56,1.63,"285","433,150","PR",-0.262443438914027
"2017-12-27",1.34,2.24,1.33,2.21,"228","262,363","PR",0.649253731343283
"2017-12-26",1.9,2.05,1.29,1.34,"557","373,069","PR",-0.294736842105263
"2017-12-25",1.79,2.15,1.57,1.9,"124","350,802","PR",0.0614525139664804
"2017-12-24",1.99,2.01,1.01,1.77,"1,033","390,558","PR",-0.110552763819095
"2017-12-23",1.85,2.12,1.56,1.97,"936","362,030","PR",0.0648648648648648
"2017-12-22",2.24,2.27,1.33,1.84,"23","439,512","PR",-0.178571428571429
"2017-12-21",1.85,2.68,1.63,2.24,"940","361,727","PR",0.210810810810811
"2017-12-20",1.77,1.92,1.63,1.85,"48","347,043","PR",0.0451977401129944
"2017-12-19",1.92,2.57,1.71,1.77,"2,051","377,240","PR",-0.078125
"2017-12-18",2.09,2.09,1.86,1.92,"84","410,277","PR",-0.0813397129186603
"2017-12-17",3.39,3.53,2.09,2.09,"205","664,826","PR",-0.383480825958702
"2017-12-16",1.78,3.3,1.75,3.3,"164","348,096","PR",0.853932584269663
"2017-12-15",2.24,2.44,1.75,1.77,"1,273","438,841","PR",-0.209821428571429
"2017-12-14",1.84,2.26,1.81,2.24,"626","360,109","PR",0.217391304347826
"2017-12-13",2.35,2.4,1.82,1.84,"170","460,371","PR",-0.217021276595745
"2017-12-12",1.3,2.35,1.22,2.35,"303","254,500","PR",0.807692307692308
"2017-12-11",1.7,2.27,1.26,1.38,"448","332,721","PR",-0.188235294117647
"2017-12-10",2.35,2.35,1.63,1.71,"36","459,781","PR",-0.272340425531915
"2017-12-09",2.05,2.64,1.7,2.34,"1,442","401,975","PR",0.141463414634146
"2017-12-08",2,2.18,1.61,2.05,"258","391,149","PR",0.0249999999999999
"2017-12-07",1.8,2.16,1.55,1.99,"113","351,837","PR",0.105555555555556
"2017-12-06",1.82,1.84,1.31,1.8,"472","357,234","PR",-0.010989010989011
"2017-12-05",1.3,1.84,1.28,1.83,"1,244","254,144","PR",0.407692307692308
"2017-12-04",1.26,1.51,1.21,1.51,"599","245,849","PR",0.198412698412698
"2017-12-03",1.24,1.34,1.2,1.25,"40","242,189","PR",0.00806451612903226
"2017-12-02",1.38,1.41,1.23,1.24,"16","270,888","PR",-0.101449275362319
"2017-12-01",1.46,1.55,1.19,1.38,"209","286,731","PR",-0.0547945205479453
"2017-11-30",1.37,1.49,1.03,1.47,"76","268,181","PR",0.0729927007299269
"2017-11-29",1.69,1.89,1.15,1.35,"183","330,430","PR",-0.201183431952663
"2017-11-28",1.08,1.7,1.07,1.69,"370","212,365","PR",0.564814814814815
"2017-11-27",1.27,1.33,1.08,1.08,"99","249,459","PR",-0.149606299212598
"2017-11-26",1.31,1.41,1.26,1.27,"30","257,327","PR",-0.0305343511450382
"2017-11-25",1.23,1.5,1.23,1.31,"96","241,587","PR",0.0650406504065041
"2017-11-24",1.63,1.76,1.23,1.24,"275","320,124","PR",-0.239263803680982
"2017-11-23",1.5,1.67,0.927474,1.66,"478","294,668","PR",0.106666666666667
"2017-11-22",0.896607,1.51,0.892819,1.51,"266","175,561","PR",0.684126936327733
"2017-11-21",1.15,1.15,0.844926,0.894433,"34","225,576","PR",-0.222232173913043
"2017-11-20",1.13,1.16,0.807004,1.15,"862","220,390","PR",0.0176991150442478
"2017-11-19",1.06,1.13,0.882928,1.13,"49","206,893","PR",0.0660377358490565
"2017-11-18",0.947121,1.08,0.916366,1.05,"24","185,427","PR",0.108622868672535
